"TRM","EU","y"
"T1","E1",0.889118888666768
"T1","E1",2.34940732257854
"T1","E1",0.873256179440258
"T1","E1",1.39598623779145
"T1","E1",5.50429560843706
"T1","E1",3.05389042813148
"T1","E1",2.9387260809759
"T1","E1",4.70017049519106
"T1","E1",3.50315918571099
"T1","E1",1.34439435959706
"T2","E1",4.08126476027715
"T2","E1",5.50980053461359
"T2","E1",2.19252633173986
"T2","E1",3.10630859734229
"T2","E1",3.44837095819056
"T2","E1",2.05515832245482
"T2","E1",3.33184277946482
"T2","E1",2.6597581192024
"T2","E1",2.65818779606926
"T2","E1",2.40539643893349
"T3","E1",3.59065434655655
"T3","E1",2.73042971872576
"T3","E1",1.11537104687436
"T3","E1",3.2522158853
"T3","E1",4.13159477062794
"T3","E1",2.07847486669264
"T3","E1",3.60674247529101
"T3","E1",6.38096779714717
"T3","E1",0.728685574281054
"T3","E1",1.39512860939412
"T4","E1",4.38257591230921
"T4","E1",-0.226513089370893
"T4","E1",4.71564136357793
"T4","E1",1.9393379205481
"T4","E1",3.36719281752242
"T4","E1",3.80613049952216
"T4","E1",-0.707379032733601
"T4","E1",3.35536821457907
"T4","E1",0.725142955461133
"T4","E1",3.04417966988856
"T1","E2",6.09578368237293
"T1","E2",0.889647693491124
"T1","E2",5.33813047514043
"T1","E2",2.07968106319087
"T1","E2",5.12932014260017
"T1","E2",4.01231730323781
"T1","E2",0.372410896827732
"T1","E2",5.63900852912721
"T1","E2",0.680269572386249
"T1","E2",2.69085201719349
"T2","E2",3.37806647537234
"T2","E2",0.765149830849636
"T2","E2",3.92634410035582
"T2","E2",0.838797559734386
"T2","E2",0.96776951516336
"T2","E2",1.95754457725865
"T2","E2",4.44763185134667
"T2","E2",1.5542987112414
"T2","E2",2.37629702077944
"T2","E2",0.822136645569974
"T3","E2",2.06828890680418
"T3","E2",2.13982945940765
"T3","E2",2.05139032199451
"T3","E2",2.22493602998904
"T3","E2",-1.39435606840921
"T3","E2",3.6376318978659
"T3","E2",1.26266428137228
"T3","E2",3.94892611337891
"T3","E2",2.44342402338374
"T3","E2",4.07386861972639
"T4","E2",3.40584589060684
"T4","E2",4.23811844057918
"T4","E2",0.861584672568906
"T4","E2",4.63945502727349
"T4","E2",3.52051075147971
"T4","E2",1.51512400359948
"T4","E2",2.24073387333178
"T4","E2",2.34765831152715
"T4","E2",2.84315243042831
"T4","E2",4.69402907568904
"T1","E3",5.74290245303247
"T1","E3",3.65304921744892
"T1","E3",7.90606933125328
"T1","E3",7.63839610931653
"T1","E3",5.27957372427738
"T1","E3",4.25735313776935
"T1","E3",4.70995098081089
"T1","E3",5.13894301905869
"T1","E3",6.09998773276775
"T1","E3",6.40339398022185
"T2","E3",6.50796257439405
"T2","E3",3.8940844122311
"T2","E3",5.16438854637762
"T2","E3",3.88936084935101
"T2","E3",4.40253579398482
"T2","E3",4.95465136847063
"T2","E3",6.66804341073591
"T2","E3",6.38463406604696
"T2","E3",6.1470947976993
"T2","E3",4.53194046328083
"T3","E3",6.36546434303593
"T3","E3",7.55261606512022
"T3","E3",5.9600845451685
"T3","E3",4.90857957216646
"T3","E3",5.0744061526231
"T3","E3",2.91798949607899
"T3","E3",6.58846721508728
"T3","E3",7.06343879140724
"T3","E3",7.52713112194679
"T3","E3",6.23817362174103
"T4","E3",5.22393558669198
"T4","E3",4.84329518980706
"T4","E3",3.9123734573764
"T4","E3",7.73572199413852
"T4","E3",5.49096840524657
"T4","E3",3.82441089203931
"T4","E3",3.01393975344408
"T4","E3",6.64488665142429
"T4","E3",5.88642020076199
"T4","E3",6.73627353229795
